[2018-04-07 00:24:25,653] (INFO) kaztron.cog.sprint: stats: [2018-04-07 00:24:25 UTC] <#sprints-with-lychees:Kauyon Kais#5631> '.w stats Syraphia'
[2018-04-07 00:25:04,206] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 00:25:04,208] (INFO) kaztron.cog.sprint: stats: [2018-04-07 00:25:04 UTC] <#sprints-with-lychees:Kauyon Kais#5631> '.w stats Milaine'
[2018-04-07 00:53:03,822] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 00:53:03,825] (INFO) kaztron.cog.sprint: Creating new sprint: 20.00 minutes starting in 5.00 minutes...
[2018-04-07 00:53:04,111] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 00:53:16,613] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 00:53:16,615] (INFO) kaztron.cog.sprint: join: [2018-04-07 00:53:16 UTC] <#sprints-with-lychees:Inorai#9095> '.w j 656'
[2018-04-07 00:53:16,616] (INFO) kaztron.cog.sprint: User Inorai joined sprint with 656 words
[2018-04-07 00:53:16,793] (INFO) kaztron.cog.sprint: join: Gave role Sprinting to user Inorai#9095
[2018-04-07 00:53:16,984] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 00:58:03,828] (INFO) kaztron.cog.sprint: Starting sprint...
[2018-04-07 00:58:04,106] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:07:39,270] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:07:39,272] (INFO) kaztron.cog.sprint: status: [2018-04-07 01:07:39 UTC] <#sprints-with-lychees:Hydrael#7330> '.w status'
[2018-04-07 01:18:03,832] (INFO) kaztron.cog.sprint: Ending sprint...
[2018-04-07 01:18:04,123] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:18:34,683] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:18:34,688] (WARNING) kaztron.cog.core: Bad argument passed in command: [2018-04-07 01:18:34 UTC] <#sprints-with-lychees:Inorai#9095> ".w c 1266'"
Converting to "int" failed.
[2018-04-07 01:18:38,174] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:18:38,176] (INFO) kaztron.cog.sprint: wordcount: [2018-04-07 01:18:38 UTC] <#sprints-with-lychees:Inorai#9095> '.w c 1266'
[2018-04-07 01:18:38,178] (INFO) kaztron.cog.sprint: User Inorai set final wordcount 1266
[2018-04-07 01:18:38,399] (INFO) kaztron.cog.sprint: All wordcounts submitted. Fast-forwarding to result announcement.
[2018-04-07 01:18:38,402] (INFO) kaztron.cog.sprint: Finalize done; announcing results...
[2018-04-07 01:18:38,760] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:19:33,485] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:19:33,488] (INFO) kaztron.cog.sprint: Creating new sprint: 20.00 minutes starting in 5.00 minutes...
[2018-04-07 01:19:33,792] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:19:37,652] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:19:37,655] (INFO) kaztron.cog.sprint: join: [2018-04-07 01:19:37 UTC] <#sprints-with-lychees:Inorai#9095> '.w j 1266'
[2018-04-07 01:19:37,656] (INFO) kaztron.cog.sprint: User Inorai joined sprint with 1266 words
[2018-04-07 01:19:37,808] (INFO) kaztron.cog.sprint: join: Gave role Sprinting to user Inorai#9095
[2018-04-07 01:19:38,231] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:19:51,925] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:19:51,928] (INFO) kaztron.cog.sprint: join: [2018-04-07 01:19:51 UTC] <#sprints-with-lychees:Hydrael#7330> '.w j 38462'
[2018-04-07 01:19:51,929] (INFO) kaztron.cog.sprint: User Hydrael joined sprint with 38462 words
[2018-04-07 01:19:52,209] (INFO) kaztron.cog.sprint: join: Gave role Sprinting to user Hydrael#7330
[2018-04-07 01:19:52,446] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:24:33,493] (INFO) kaztron.cog.sprint: Starting sprint...
[2018-04-07 01:24:33,799] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:35:08,909] (WARNING) kaztron.cog.core: Unknown command: [2018-04-07 01:35:08 UTC] <#sprints-with-lychees:Hydrael#7330> '.s status'
[2018-04-07 01:35:12,859] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:35:12,861] (INFO) kaztron.cog.sprint: status: [2018-04-07 01:35:12 UTC] <#sprints-with-lychees:Hydrael#7330> '.w status'
[2018-04-07 01:41:26,363] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:41:26,365] (INFO) kaztron.cog.sprint: status: [2018-04-07 01:41:26 UTC] <#sprints-with-lychees:Hydrael#7330> '.w status'
[2018-04-07 01:44:33,511] (INFO) kaztron.cog.sprint: Ending sprint...
[2018-04-07 01:44:33,779] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:45:05,532] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:45:05,534] (INFO) kaztron.cog.sprint: wordcount: [2018-04-07 01:45:05 UTC] <#sprints-with-lychees:Hydrael#7330> '.w c 38673'
[2018-04-07 01:45:05,536] (INFO) kaztron.cog.sprint: User Hydrael set final wordcount 38673
[2018-04-07 01:45:05,815] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:45:17,582] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:45:17,584] (INFO) kaztron.cog.sprint: wordcount: [2018-04-07 01:45:17 UTC] <#sprints-with-lychees:Inorai#9095> '.w c 1632'
[2018-04-07 01:45:17,586] (INFO) kaztron.cog.sprint: User Inorai set final wordcount 1632
[2018-04-07 01:45:17,777] (INFO) kaztron.cog.sprint: All wordcounts submitted. Fast-forwarding to result announcement.
[2018-04-07 01:45:17,780] (INFO) kaztron.cog.sprint: Finalize done; announcing results...
[2018-04-07 01:45:18,287] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:49:45,235] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:49:45,238] (INFO) kaztron.cog.sprint: Creating new sprint: 20.00 minutes starting in 5.00 minutes...
[2018-04-07 01:49:45,564] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:49:58,670] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:49:58,672] (INFO) kaztron.cog.sprint: join: [2018-04-07 01:49:58 UTC] <#sprints-with-lychees:Inorai#9095> '.w j 1632'
[2018-04-07 01:49:58,674] (INFO) kaztron.cog.sprint: User Inorai joined sprint with 1632 words
[2018-04-07 01:49:58,828] (INFO) kaztron.cog.sprint: join: Gave role Sprinting to user Inorai#9095
[2018-04-07 01:49:59,007] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:50:06,140] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 01:50:06,143] (INFO) kaztron.cog.sprint: join: [2018-04-07 01:50:06 UTC] <#sprints-with-lychees:Hydrael#7330> '.w j 38673'
[2018-04-07 01:50:06,144] (INFO) kaztron.cog.sprint: User Hydrael joined sprint with 38673 words
[2018-04-07 01:50:06,298] (INFO) kaztron.cog.sprint: join: Gave role Sprinting to user Hydrael#7330
[2018-04-07 01:50:06,479] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 01:54:45,261] (INFO) kaztron.cog.sprint: Starting sprint...
[2018-04-07 01:54:45,557] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 02:14:45,264] (INFO) kaztron.cog.sprint: Ending sprint...
[2018-04-07 02:14:45,561] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 02:14:56,580] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 02:14:56,582] (INFO) kaztron.cog.sprint: wordcount: [2018-04-07 02:14:56 UTC] <#sprints-with-lychees:Inorai#9095> '.w c 2266'
[2018-04-07 02:14:56,583] (INFO) kaztron.cog.sprint: User Inorai set final wordcount 2266
[2018-04-07 02:14:56,809] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 02:15:13,747] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 02:15:13,749] (INFO) kaztron.cog.sprint: wordcount: [2018-04-07 02:15:13 UTC] <#sprints-with-lychees:Hydrael#7330> '.w c 38714'
[2018-04-07 02:15:13,751] (INFO) kaztron.cog.sprint: User Hydrael set final wordcount 38714
[2018-04-07 02:15:13,947] (INFO) kaztron.cog.sprint: All wordcounts submitted. Fast-forwarding to result announcement.
[2018-04-07 02:15:13,950] (INFO) kaztron.cog.sprint: Finalize done; announcing results...
[2018-04-07 02:15:14,474] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 06:26:01,364] (INFO) websockets.protocol: Failing the WebSocket connection: 1011 
[2018-04-07 06:26:01,367] (INFO) discord.gateway: Websocket closed with 1006 (), attempting a reconnect.
[2018-04-07 06:26:01,368] (INFO) discord.client: Got ResumeWebSocket
[2018-04-07 06:26:01,858] (INFO) discord.gateway: Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
[2018-04-07 06:26:01,863] (INFO) discord.gateway: sent the resume payload to create the websocket
[2018-04-07 11:17:26,466] (INFO) kaztron.checks: Validated command in allowed channel bot
[2018-04-07 12:58:34,906] (INFO) kaztron.checks: Validated command in allowed channel bot
[2018-04-07 14:08:42,242] (INFO) kaztron.checks: Validated command in allowed channel lounge
[2018-04-07 14:08:42,604] (ERROR) asyncio: Task exception was never retrieved
future: <Task finished coro=<WebSocketCommonProtocol.run() done, defined at /usr/local/lib/python3.6/site-packages/websockets/protocol.py:428> exception=ConnectionResetError(104, 'Connection reset by peer')>
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/site-packages/websockets/protocol.py", line 434, in run
    msg = yield from self.read_message()
  File "/usr/local/lib/python3.6/site-packages/websockets/protocol.py", line 456, in read_message
    frame = yield from self.read_data_frame(max_size=self.max_size)
  File "/usr/local/lib/python3.6/site-packages/websockets/protocol.py", line 511, in read_data_frame
    frame = yield from self.read_frame(max_size)
  File "/usr/local/lib/python3.6/site-packages/websockets/protocol.py", line 546, in read_frame
    self.reader.readexactly, is_masked, max_size=max_size)
  File "/usr/local/lib/python3.6/site-packages/websockets/framing.py", line 86, in read_frame
    data = yield from reader(2)
  File "/usr/local/lib/python3.6/asyncio/streams.py", line 674, in readexactly
    yield from self._wait_for_data('readexactly')
  File "/usr/local/lib/python3.6/asyncio/streams.py", line 464, in _wait_for_data
    yield from self._waiter
  File "/usr/local/lib/python3.6/asyncio/selector_events.py", line 723, in _read_ready
    data = self._sock.recv(self.max_size)
ConnectionResetError: [Errno 104] Connection reset by peer
[2018-04-07 14:20:44,609] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 14:20:44,617] (INFO) kaztron.cog.sprint: Creating new sprint: 35.00 minutes starting in 5.00 minutes...
[2018-04-07 14:20:44,966] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 14:21:32,000] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 14:21:32,005] (INFO) kaztron.cog.sprint: join: [2018-04-07 14:21:31 UTC] <#sprints-with-lychees:you-are-lovely#3254> '.w j 7364'
[2018-04-07 14:21:32,009] (INFO) kaztron.cog.sprint: User you-are-lovely joined sprint with 7364 words
[2018-04-07 14:21:32,257] (INFO) kaztron.cog.sprint: join: Gave role Sprinting to user you-are-lovely#3254
[2018-04-07 14:21:32,518] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 14:24:11,764] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 14:24:11,770] (INFO) kaztron.cog.sprint: join: [2018-04-07 14:24:11 UTC] <#sprints-with-lychees:nickofnite#9094> '.w j 5898'
[2018-04-07 14:24:11,775] (INFO) kaztron.cog.sprint: User nickofnite joined sprint with 5898 words
[2018-04-07 14:24:12,042] (INFO) kaztron.cog.sprint: join: Gave role Sprinting to user nickofnite#9094
[2018-04-07 14:24:12,221] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 14:25:44,623] (INFO) kaztron.cog.sprint: Starting sprint...
[2018-04-07 14:25:44,963] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 14:37:54,352] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 14:37:54,358] (INFO) kaztron.cog.sprint: status: [2018-04-07 14:37:54 UTC] <#sprints-with-lychees:Lychee#7752> '.w status'
[2018-04-07 14:57:59,612] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 14:57:59,617] (INFO) kaztron.cog.sprint: status: [2018-04-07 14:57:59 UTC] <#sprints-with-lychees:Lychee#7752> '.w status'
[2018-04-07 15:00:44,625] (INFO) kaztron.cog.sprint: Ending sprint...
[2018-04-07 15:00:45,055] (INFO) kaztron.config: config(state.json) Writing file...
[2018-04-07 15:00:59,300] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-07 15:00:59,307] (INFO) kaztron.cog.sprint: wordcount: [2018-04-07 15:00:59 UTC] <#sprints-with-lychees:you-are-lovely#3254> '.w c 7506'
[2018-04-07 15:00:59,311] (INFO) kaztron.cog.sprint: User you-are-lovely set final wordcount 7506
